What is the?most?famous bar in town?,DRINK
What are the popular tourist attractions near the hotel?,CULTURE
Where can I buy some souvenirs?,CULTURE
Where can I grab some food?,FOOD
How can I get to the nearest supermarket?,FOOD
Are there recommended restaurant near the hotel?,FOOD
How do I get to the nearest bar?,DRINK
I want to go to convenient store.,FOOD
I'd like to have some local food.,FOOD
How do I get to the nearest convenient?store?,FOOD
What is the famous attraction nearby?,CULTURE
Please recommend me some attractions.,CULTURE
Is that tourist attraction within walking distance?,CULTURE
Where can I buy some local specialties.,CULTURE
Show me the list of steakhouse nearby.,FOOD
Where can I buy some fruit?,FOOD
Please tell me the best Chinese restaurant nearby.,FOOD
"I want to have some BBQ, where should I go?",FOOD
Is there any night club opened today?,DRINK
Do you have a sightseeing brochure for this town?,CULTURE
Where is the tourist information office?,CULTURE
I'd like a restaurant with cheerful atmosphere.,FOOD
I want a restaurant with reasonable prices.,FOOD
Do you know of any restaurants open now?,FOOD
Where is the nearest Italian restaurant??,FOOD
Is there a Chinese restaurant around here?,FOOD
Where is the main area for restaurants?,FOOD
Do you have a five days land tour recently?,CULTURE
Recommend me some good sightseeing to visit.,CULTURE
Where is the place to enjoy a nice view?,CULTURE
I want to get something to eat.,FOOD
Is there any popular restaurant near the hotel?,FOOD
Where can I find McDonald or KFC?,FOOD
I want to buy some snack.,FOOD
I'm really hungry now.,FOOD
Are there recommended delicacies?,FOOD
Is there any delicacy?,FOOD
What are the famous dishes here?,FOOD
Where can I grab some food?,FOOD
What's recommended for dinner?,FOOD
Are there recommended cuisine?,FOOD
Can you recommend some restaurants for lunch?,FOOD
Are there restaurants for brunch?,FOOD
I'm thirsty.,DRINK
I want to buy some champagne to celebrate with my friends.,DRINK
I want to find some places to drink some wine and have fun.,DRINK
Where can I get some liquor.,DRINK
Where is the nearest bar?,DRINK
I want to have some wine.,DRINK
Are there recommended beautiful scenery or landmarks?,CULTURE
Is there national park near the hotel?,CULTURE
Are there cultural tourist attaractions near here?,CULTURE
What are the popular tourist destinations?,CULTURE
Are there beautiful spots around here?,CULTURE
Where can I meet new friends?,SOCIAL
Are there places for people gathering together?,SOCIAL
Are there social activities I can join?,SOCIAL
I am so hungry!,FOOD
Give me food.,FOOD
Please recommend some special cuisine.,FOOD
I would like to have some fried chicken,FOOD
I want to eat pizza.,FOOD
I want to eat sushi ,FOOD
I would like to eat some beef noodle?,FOOD
food.,FOOD
plz tell me the nearest indian restaurant.,FOOD
Is there any temple nearby?,CULTURE
Plz recommend me some local religious heritages.,CULTURE
Tell me some spot to experience the local culture.,CULTURE
Cultural spot.,CULTURE
history heritage.,CULTURE
Where an I visit ?,CULTURE
What’s the famous tourist spot here?,CULTURE
I want to take a walk tomorrow morning.,CULTURE
I want to drink a shot!,DRINK
I want to get a drink.,DRINK
give me some Vodka.,DRINK
Whisky is needed…..,DRINK
Draft beer ,DRINK
Gin ,DRINK
Vodka ,DRINK
Tequila ,DRINK
Whiskey ,DRINK
Brandy ,DRINK
Champagne,DRINK
Bar is good.,DRINK
I wanna go to bar.,DRINK
I’d like to make some new friends!!!,SOCIAL